"id","name","longname","alpha","code","code_two","my_train_code","anglia_code","national_rail_code"
145,"AVIEMORE","Aviemore Rail Station","\N","AVM","AVIEMRE","95897e2e-2a51-4932-ba75-13bc1499267a",NULL,NULL
148,"AVONMOUTH","Avonmouth Rail Station","\N","AVN","AVONMTH","86fae92c-8559-4bda-ad5e-237ac304d8a8",NULL,NULL
146,"AVONCLIFF","Avoncliff Rail Station","\N","AVF","AVNCLFF","80c2d009-ecfd-4440-872e-96d07df084c6",NULL,NULL
151,"AYLESBURY","Aylesbury Rail Station","\N","AYS","AYLSBRY","b9fe928a-829e-40d8-9197-7c796175ae78",NULL,NULL
149,"AXMINSTER","Axminster Rail Station","\N","AXM","AXMNSTR","09fe982b-2173-405c-b0d5-6f768d406151",NULL,NULL
152,"AYLESBURY VALE PARKWAY","Aylesbury Vale Parkway Rail Station","\N","AVP","AYLSPWY","f26c7325-f4a3-44ff-8adc-ece9196138b6",NULL,NULL
154,"AYLESHAM","Aylesham Rail Station","\N","AYH","ALSHAM","0bcad048-47a2-4321-b5df-987ba1ea17dc",NULL,NULL
155,"AYR","Ayr Rail Station","\N","AYR","AYRR","5f1cb46c-ed45-43d7-9bef-05f248eadc63",NULL,NULL
156,"BACHE","Bache Rail Station","\N","BAC","BACHE","c7a764cf-371b-4df2-b5dc-e07483ffa70a",NULL,NULL
158,"BAGSHOT","Bagshot Rail Station","\N","BAG","BAGSHOT","f568a219-a06a-48ab-9312-db35c317f4f8",NULL,NULL
159,"Baguley Metrolink","\N","\N","BGK","BAGMTLK","",NULL,NULL
161,"BAILLIESTON","Baillieston Rail Station","\N","BIO","BALISTN","955d1416-c865-47f2-a337-d2ab8665a1f8",NULL,NULL
162,"BALCOMBE","Balcombe Rail Station","\N","BAB","BALCOMB","ffb6ef81-34b7-4959-84ba-a43dd05e4f27",NULL,NULL
164,"BALHAM","Balham Rail Station","\N","BAL","BALHAM","2136cbfc-071c-4006-84a8-5ad312c65f8c",NULL,NULL
165,"BALLINA","\N","\N","BAX","CATZBAX","",NULL,NULL
166,"BALLINASLOE","\N","\N","BSG","CATZBSG","",NULL,NULL
167,"BALLOCH","Balloch Rail Station","\N","BHC","BALLOCH","fb93849c-a101-4696-8446-470587c87a86",NULL,NULL
168,"BALLYBROPHY","\N","\N","BBY","CATZBBY","",NULL,NULL
169,"BALLYHAUNIS","\N","\N","BHN","CATZBHN","",NULL,NULL
171,"BALLYMOTE","\N","\N","BAO","CATZBAO","",NULL,NULL
172,"BALMOSSIE","Balmossie Rail Station","\N","BSI","BALMOSS","acce8841-2ed9-4a45-be67-445391201b0e",NULL,NULL
174,"BAMFORD","Bamford Rail Station","\N","BAM","BAMFORD","17752ea3-41e0-4971-add8-3d67358050ad",NULL,NULL
175,"BANAVIE","Banavie Rail Station","\N","BNV","BANAVIE","203f6211-f795-44bc-9fdc-09a53b5bdda3",NULL,NULL
177,"BANGOR (GWYNEDD)","Bangor (Gwynedd) Rail Station","\N","BNG","BANGOR","f82b14ff-7b98-44fe-bc53-6b5023282795",NULL,NULL
178,"BANK HALL","Bank Hall Rail Station","\N","BAH","BNKHALL","ed84cde1-7445-4155-9049-b154e4813969",NULL,NULL
125,"ASHURST NEW FOREST","Ashurst New Forest Rail Station","LYNDHURST ROAD","ANF","LYNDHRD","eb6b7490-b6fd-4510-a1cf-640223f4cacf",NULL,NULL
2305,"Sale Water Park Metrolink","\N","\N","SPM","SWPMTLK","",NULL,NULL
181,"BANTEER","\N","\N","BNU","CATZBNU","",NULL,NULL
183,"BARDON MILL","Bardon Mill Rail Station","\N","BLL","BRDNML","dd2f91b3-adad-4ab8-bff8-ce66a9a9a773",NULL,NULL
185,"BARGEDDIE","Bargeddie Rail Station","\N","BGI","BRGDDIE","1156b3e5-ceee-429c-b5e8-96105245b45d",NULL,NULL
186,"BARGOED","Bargoed Rail Station","\N","BGD","BARGOED","0d3e1458-8484-4943-881d-738af7f2b0a2",NULL,NULL
188,"BARLASTON","Barlaston Rail Station","\N","BRT","BARLSTN","8468667e-37f2-47c8-9d2d-12aee66a4cca",NULL,NULL
189,"BARLASTON ORCHARD PLACE","\N","\N","BPL","BARLSOP","c582ecee-1c62-4626-95ae-ecb9f4cfcbc1",NULL,NULL
190,"Barlow Moor Road Metrolink","\N","\N","BMM","BLMMTLK","",NULL,NULL
192,"BARMOUTH","Barmouth Rail Station","ABERMAW","BRM","BRMOUTH","10caa88a-0e85-4c63-8daf-28e397a3177c",NULL,NULL
193,"BARNEHURST","Barnehurst Rail Station","\N","BNH","BRNHRST","7308014a-ed17-4f72-8a9d-1d99b2f30b00",NULL,NULL
195,"BARNES BRIDGE","Barnes Bridge Rail Station","\N","BNI","BNSBDGE","719301a3-0390-454d-8b34-f2c12dcd1138",NULL,NULL
196,"BARNETBY","Barnetby Rail Station","\N","BTB","BNTBY","1001c7fa-d59c-4a1e-9974-3f60335f08ce",NULL,NULL
198,"BARNHILL GLASGOW","Barnhill Rail Station","\N","BNL","BNHL","1e35f86a-707b-4c57-a71f-dee58e98cfbe",NULL,NULL
199,"BARNSLEY","Barnsley Rail Station","\N","BNY","BNSLY","8962586d-b924-491f-a813-4b00c3f8fa70",NULL,NULL
201,"BARNT GREEN","Barnt Green Rail Station","\N","BTG","BGRN","14f14cb7-4f75-4358-bc7b-4c52f419e35c",NULL,NULL
204,"BARRHILL","Barrhill Rail Station","\N","BRL","BRRHL","07629292-1e71-4333-8742-167d2d7527bb",NULL,NULL
206,"BARROW-IN-FURNESS","Barrow-in-Furness Rail Station","\N","BIF","BAROW","ff04db0a-2f52-40a4-aec9-8a7117f1d47e",NULL,NULL
207,"BARROW-UPON-SOAR","Barrow upon Soar Rail Station","\N","BWS","BAROWOS","713ac4bb-c1a7-46e9-9f91-57d35f9b61f3",NULL,NULL
208,"BARRY","Barry Rail Station","Y BARRI","BRY","BARRY","4f54d338-8848-42c2-bc5a-290699edba58",NULL,NULL
210,"BARRY ISLAND","Barry Island Rail Station","YNYS Y BARRI","BYI","BARRYIS","b0ad2292-ec8f-423b-a4d9-f55432922af3",NULL,NULL
211,"BARRY LINKS","Barry Links Rail Station","\N","BYL","BRRYLNK","1a433c1b-808c-453b-9e1f-2f804ba5a415",NULL,NULL
213,"BASILDON","Basildon Rail Station","\N","BSO","BASILDN","c4a4691f-6992-4a7a-a070-02bb1060dcf2",NULL,NULL
216,"BAT & BALL","Bat & Ball Rail Station","\N","BBL","BATABAL","b648229b-498e-4ad8-8e50-04bdca13ff8d",NULL,NULL
214,"BASINGSTOKE","Basingstoke Rail Station","\N","BSK","BSNGSTK","7de34c6a-5ff8-4eaf-9950-89c13753867a",NULL,NULL
217,"BATH SPA","Bath Spa Rail Station","\N","BTH","BATHSPA","ccb1c206-b9c0-4157-b58c-cb55766c697b",NULL,NULL
218,"BATHGATE","Bathgate Rail Station","\N","BHG","BTHGATE","f1327d97-d2fc-45a5-acc5-ad6f576084bb",NULL,NULL
220,"BATTERSBY","Battersby Rail Station","\N","BTT","BTRSBY","6663c16b-00a7-4080-882f-c546c7803acf",NULL,NULL
222,"BATTLE","Battle Rail Station","\N","BAT","BATTLE","db7e3197-f1f9-4ec9-9bb6-b8ed7cd2930d",NULL,NULL
223,"BATTLESBRIDGE","Battlesbridge Rail Station","\N","BLB","BTLSBDG","e0825185-d0a8-438c-84fc-70331bc4ab69",NULL,NULL
224,"BAYFORD","Bayford Rail Station","\N","BAY","BAYFORD","28d3b7a6-698b-4532-a28d-c9da609ba831",NULL,NULL
226,"BEARLEY","Bearley Rail Station","\N","BER","BEARLEY","7d847fa6-c537-4f79-9ab5-2e703982afc7",NULL,NULL
227,"BEARSDEN","Bearsden Rail Station","\N","BRN","BSDN","fa0631b9-a540-45e2-8a7a-6cc921cafd47",NULL,NULL
229,"BEASDALE","Beasdale Rail Station","\N","BSL","BEASDAL","928c595e-25e0-4cc8-92ee-155cb2ba730d",NULL,NULL
230,"BEAULIEU ROAD","Beaulieu Road Rail Station","\N","BEU","BLIEURD","e17c59b8-c0d4-4c4f-baa9-88cdff0c25a3",NULL,NULL
232,"BEBINGTON","Bebington Rail Station","\N","BEB","BEBNGTN","93a1b8a7-d60c-4a0f-9fd7-21d7e249abde",NULL,NULL
233,"BECCLES","Beccles Rail Station","\N","BCC","BECCLES","6333bd3c-5a12-4708-a50b-c5fb003f1356",NULL,NULL
235,"BECKENHAM JN (UP SIDE-BUS)","\N","\N","BKJ","BCKNBUS","f93b97bb-bd0a-4580-b8d8-39d3b8e9a085",NULL,NULL
240,"BEDFORD ST JOHNS","Bedford St Johns Rail Station","ST JOHNS (BEDFORD)","BSJ","BESJOHN","fe33c7cb-5003-4b8c-a0b0-706390f41399",NULL,NULL
238,"BEDFORD MIDLAND","Bedford Rail Station","\N","BDM","BEDFDM","9b0a1f34-dab3-4611-bf6a-0ab5488c3e93",NULL,NULL
239,"BEDFORD NORTH JN","\N","\N","BDM","BEDFDN","9b0a1f34-dab3-4611-bf6a-0ab5488c3e93",NULL,NULL
242,"BEDMINSTER","Bedminster Rail Station","\N","BMT","BDMNSTR","5f8e8cc8-0c37-4614-89d5-5d305730fed9",NULL,NULL
243,"BEDWORTH","Bedworth Rail Station","\N","BEH","BEDWRTH","7b6daf2c-1435-480b-bd33-98c2794e42c6",NULL,NULL
245,"BEESTON","Beeston Rail Station","\N","BEE","BESTON","9b8ed899-02ff-4703-bc8f-38eabe06f86e",NULL,NULL
246,"BEKESBOURNE","Bekesbourne Rail Station","\N","BKS","BEKSBRN","d82bd704-133f-4e9f-983e-86cf54368de2",NULL,NULL
248,"BELFAST PORT","\N","\N","BFA","BLFSTPT","5f9f30df-7065-4164-bf30-af3319b53458",NULL,NULL
249,"BELLE VUE","Belle Vue Rail Station","\N","BLV","BLLVUE","2302accb-dc6f-4a21-8425-dcbbe7f27dfb",NULL,NULL
251,"BELLINGHAM","Bellingham Rail Station","\N","BGM","BELNGHM","d5007c75-9cf3-4f10-9d7d-f90a6a0f3cc3",NULL,NULL
252,"BELLSHILL","Bellshill Rail Station","\N","BLH","BLSHL","a447fe65-3357-40b0-a322-7bae95abdcaa",NULL,NULL
254,"BELPER","Belper Rail Station","\N","BLP","BELPER","cc042ed8-cec5-4753-8902-fcd67dd4223b",NULL,NULL
255,"BELTRING","Beltring Rail Station","\N","BEG","BLTRNAB","4e903143-3b45-4830-9a87-c0c955a75a84",NULL,NULL
